"","id","team1","team2","season","city","win_by_runs","win_by_wickets","t1ha","t2ha","t1tw","t2tw","t1twbf","t1twff","t2twbf","t2twff","team1tm","team1mw","team1wp","team1wr","team1rs","team1rspi","team1w","team1wpi","team2tm","team2mw","team2wp","team2wr","team2rs","team2rspi","team2w","team2wpi","winner"
"501",1,"Kolkata Knight Riders","Royal Challengers Bangalore",2008,"Bangalore",140,0,0,1,0,1,0,0,-1,1,132,68,51.5151515151515,64,19481,148,762,6,139,70,50.3597122302158,69,21591,156,804,6,0
"215",2,"Chennai Super Kings","Kings XI Punjab",2008,"Chandigarh",33,0,0,0,1,0,1,-1,0,0,131,79,60.3053435114504,52,20899,160,820,7,134,63,47.0149253731343,71,20861,156,761,6,0
"132",3,"Rajasthan Royals","Delhi Daredevils",2008,"Delhi",0,9,0,1,1,0,1,-1,0,0,118,63,53.3898305084746,55,17703,151,704,6,133,56,42.1052631578947,77,19734,149,753,6,1
"498",4,"Mumbai Indians","Royal Challengers Bangalore",2008,"Mumbai",0,5,1,0,1,0,1,-1,0,0,140,80,57.1428571428571,60,21721,156,844,7,139,70,50.3597122302158,69,21591,156,804,6,1
"306",5,"Deccan Chargers","Kolkata Knight Riders",2008,"Kolkata",0,5,0,1,1,0,1,-1,0,0,75,29,38.6666666666667,46,11463,153,446,6,132,68,51.5151515151515,64,19481,148,762,6,1
"443",6,"Kings XI Punjab","Rajasthan Royals",2008,"Jaipur",0,6,0,1,1,0,1,-1,0,0,134,63,47.0149253731343,71,20861,156,761,6,118,63,53.3898305084746,55,17703,151,704,6,1
"90",7,"Deccan Chargers","Delhi Daredevils",2008,"Hyderabad",0,9,1,0,1,0,1,-1,0,0,75,29,38.6666666666667,46,11463,153,446,6,133,56,42.1052631578947,77,19734,149,753,6,1
"326",8,"Chennai Super Kings","Mumbai Indians",2008,"Chennai",6,0,0,0,0,1,0,0,-1,1,131,79,60.3053435114504,52,20899,160,820,7,140,80,57.1428571428571,60,21721,156,844,7,0
"412",9,"Deccan Chargers","Rajasthan Royals",2008,"Hyderabad",0,3,1,0,0,1,0,0,-1,1,75,29,38.6666666666667,46,11463,153,446,6,118,63,53.3898305084746,55,17703,151,704,6,1
"328",10,"Kings XI Punjab","Mumbai Indians",2008,"Chandigarh",66,0,0,0,0,1,0,0,-1,1,134,63,47.0149253731343,71,20861,156,761,6,140,80,57.1428571428571,60,21721,156,844,7,0
"458",11,"Royal Challengers Bangalore","Rajasthan Royals",2008,"Bangalore",0,7,1,0,0,1,0,0,-1,1,139,70,50.3597122302158,69,21591,156,804,6,118,63,53.3898305084746,55,17703,151,704,6,1
"21",12,"Kolkata Knight Riders","Chennai Super Kings",2008,"Chennai",0,9,0,0,1,0,1,-1,0,0,132,68,51.5151515151515,64,19481,148,762,6,131,79,60.3053435114504,52,20899,160,820,7,1
"61",13,"Mumbai Indians","Deccan Chargers",2008,"Mumbai",0,10,1,0,0,1,0,0,-1,1,140,80,57.1428571428571,60,21721,156,844,7,75,29,38.6666666666667,46,11463,153,446,6,1
"229",14,"Delhi Daredevils","Kings XI Punjab",2008,"Chandigarh",0,4,0,0,1,0,1,-1,0,0,133,56,42.1052631578947,77,19734,149,753,6,134,63,47.0149253731343,71,20861,156,761,6,1
"533",15,"Chennai Super Kings","Royal Challengers Bangalore",2008,"Bangalore",13,0,0,1,1,0,1,-1,0,0,131,79,60.3053435114504,52,20899,160,820,7,139,70,50.3597122302158,69,21591,156,804,6,0
"334",16,"Kolkata Knight Riders","Mumbai Indians",2008,"Kolkata",0,7,1,0,1,0,1,-1,0,0,132,68,51.5151515151515,64,19481,148,762,6,140,80,57.1428571428571,60,21721,156,844,7,1
"476",17,"Delhi Daredevils","Royal Challengers Bangalore",2008,"Delhi",10,0,1,0,0,1,0,0,-1,1,133,56,42.1052631578947,77,19734,149,753,6,139,70,50.3597122302158,69,21591,156,804,6,0
"188",18,"Deccan Chargers","Kings XI Punjab",2008,"Hyderabad",0,7,1,0,0,1,0,0,-1,1,75,29,38.6666666666667,46,11463,153,446,6,134,63,47.0149253731343,71,20861,156,761,6,1
"299",19,"Rajasthan Royals","Kolkata Knight Riders",2008,"Jaipur",45,0,1,0,1,0,1,-1,0,0,118,63,53.3898305084746,55,17703,151,704,6,132,68,51.5151515151515,64,19481,148,762,6,0
"161",20,"Chennai Super Kings","Delhi Daredevils",2008,"Chennai",0,8,0,0,1,0,1,-1,0,0,131,79,60.3053435114504,52,20899,160,820,7,133,56,42.1052631578947,77,19734,149,753,6,1
"484",21,"Deccan Chargers","Royal Challengers Bangalore",2008,"Hyderabad",0,5,1,0,1,0,1,-1,0,0,75,29,38.6666666666667,46,11463,153,446,6,139,70,50.3597122302158,69,21591,156,804,6,1
"278",22,"Kings XI Punjab","Kolkata Knight Riders",2008,"Chandigarh",9,0,0,0,1,0,1,-1,0,0,134,63,47.0149253731343,71,20861,156,761,6,132,68,51.5151515151515,64,19481,148,762,6,0
"151",23,"Mumbai Indians","Delhi Daredevils",2008,"Mumbai",29,0,1,0,0,1,0,0,-1,1,140,80,57.1428571428571,60,21721,156,844,7,133,56,42.1052631578947,77,19734,149,753,6,0
"411",24,"Chennai Super Kings","Rajasthan Royals",2008,"Jaipur",0,8,0,1,1,0,1,-1,0,0,131,79,60.3053435114504,52,20899,160,820,7,118,63,53.3898305084746,55,17703,151,704,6,1
"190",25,"Royal Challengers Bangalore","Kings XI Punjab",2008,"Bangalore",0,6,1,0,0,1,0,0,-1,1,139,70,50.3597122302158,69,21591,156,804,6,134,63,47.0149253731343,71,20861,156,761,6,1
"66",26,"Chennai Super Kings","Deccan Chargers",2008,"Chennai",0,7,0,0,0,1,0,0,-1,1,131,79,60.3053435114504,52,20899,160,820,7,75,29,38.6666666666667,46,11463,153,446,6,1
"350",27,"Rajasthan Royals","Mumbai Indians",2008,"Mumbai",0,7,0,1,0,1,0,0,-1,1,118,63,53.3898305084746,55,17703,151,704,6,140,80,57.1428571428571,60,21721,156,844,7,1
"29",28,"Delhi Daredevils","Chennai Super Kings",2008,"Delhi",0,4,1,0,0,1,0,0,-1,1,133,56,42.1052631578947,77,19734,149,753,6,131,79,60.3053435114504,52,20899,160,820,7,1
"478",29,"Kolkata Knight Riders","Royal Challengers Bangalore",2008,"Kolkata",5,0,1,0,1,0,1,-1,0,0,132,68,51.5151515151515,64,19481,148,762,6,139,70,50.3597122302158,69,21591,156,804,6,0
"444",30,"Deccan Chargers","Rajasthan Royals",2008,"Jaipur",0,8,0,1,0,1,0,0,-1,1,75,29,38.6666666666667,46,11463,153,446,6,118,63,53.3898305084746,55,17703,151,704,6,1
"372",31,"Royal Challengers Bangalore","Mumbai Indians",2008,"Bangalore",0,9,1,0,0,1,0,0,-1,1,139,70,50.3597122302158,69,21591,156,804,6,140,80,57.1428571428571,60,21721,156,844,7,1
"179",32,"Chennai Super Kings","Kings XI Punjab",2008,"Chennai",18,0,0,0,0,1,0,0,-1,1,131,79,60.3053435114504,52,20899,160,820,7,134,63,47.0149253731343,71,20861,156,761,6,0
"84",33,"Kolkata Knight Riders","Deccan Chargers",2008,"Hyderabad",23,0,0,1,1,0,1,-1,0,0,132,68,51.5151515151515,64,19481,148,762,6,75,29,38.6666666666667,46,11463,153,446,6,0
"435",34,"Delhi Daredevils","Rajasthan Royals",2008,"Jaipur",0,3,0,1,0,1,0,0,-1,1,133,56,42.1052631578947,77,19734,149,753,6,118,63,53.3898305084746,55,17703,151,704,6,1
"230",35,"Royal Challengers Bangalore","Kings XI Punjab",2008,"Chandigarh",0,9,0,0,1,0,1,-1,0,0,139,70,50.3597122302158,69,21591,156,804,6,134,63,47.0149253731343,71,20861,156,761,6,1
"145",36,"Kolkata Knight Riders","Delhi Daredevils",2008,"Kolkata",23,0,1,0,1,0,1,-1,0,0,132,68,51.5151515151515,64,19481,148,762,6,133,56,42.1052631578947,77,19734,149,753,6,0
"366",37,"Chennai Super Kings","Mumbai Indians",2008,"Mumbai",0,9,0,1,0,1,0,0,-1,1,131,79,60.3053435114504,52,20899,160,820,7,140,80,57.1428571428571,60,21721,156,844,7,1
"425",38,"Kings XI Punjab","Rajasthan Royals",2008,"Chandigarh",41,0,0,0,0,1,0,0,-1,1,134,63,47.0149253731343,71,20861,156,761,6,118,63,53.3898305084746,55,17703,151,704,6,0
"60",39,"Delhi Daredevils","Deccan Chargers",2008,"Delhi",12,0,1,0,0,1,0,0,-1,1,133,56,42.1052631578947,77,19734,149,753,6,75,29,38.6666666666667,46,11463,153,446,6,0
"355",40,"Kolkata Knight Riders","Mumbai Indians",2008,"Mumbai",0,8,0,1,0,1,0,0,-1,1,132,68,51.5151515151515,64,19481,148,762,6,140,80,57.1428571428571,60,21721,156,844,7,1
"176",41,"Delhi Daredevils","Kings XI Punjab",2008,"Delhi",6,0,1,0,1,0,1,-1,0,0,133,56,42.1052631578947,77,19734,149,753,6,134,63,47.0149253731343,71,20861,156,761,6,1
"500",42,"Rajasthan Royals","Royal Challengers Bangalore",2008,"Jaipur",65,0,1,0,0,1,0,0,-1,1,118,63,53.3898305084746,55,17703,151,704,6,139,70,50.3597122302158,69,21591,156,804,6,0
"77",43,"Mumbai Indians","Deccan Chargers",2008,"Hyderabad",25,0,0,1,0,1,0,0,-1,1,140,80,57.1428571428571,60,21721,156,844,7,75,29,38.6666666666667,46,11463,153,446,6,0
"22",44,"Kolkata Knight Riders","Chennai Super Kings",2008,"Kolkata",3,0,1,0,1,0,1,-1,0,0,132,68,51.5151515151515,64,19481,148,762,6,131,79,60.3053435114504,52,20899,160,820,7,1
"111",45,"Royal Challengers Bangalore","Delhi Daredevils",2008,"Bangalore",0,5,1,0,0,1,0,0,-1,1,139,70,50.3597122302158,69,21591,156,804,6,133,56,42.1052631578947,77,19734,149,753,6,1
"461",46,"Kolkata Knight Riders","Rajasthan Royals",2008,"Kolkata",0,6,1,0,0,1,0,0,-1,1,132,68,51.5151515151515,64,19481,148,762,6,118,63,53.3898305084746,55,17703,151,704,6,1
"327",47,"Kings XI Punjab","Mumbai Indians",2008,"Mumbai",1,0,0,1,0,1,0,0,-1,1,134,63,47.0149253731343,71,20861,156,761,6,140,80,57.1428571428571,60,21721,156,844,7,0
"32",48,"Royal Challengers Bangalore","Chennai Super Kings",2008,"Chennai",14,0,0,0,1,0,1,-1,0,0,139,70,50.3597122302158,69,21591,156,804,6,131,79,60.3053435114504,52,20899,160,820,7,0
"206",49,"Deccan Chargers","Kings XI Punjab",2008,"Chandigarh",0,6,0,0,0,1,0,0,-1,1,75,29,38.6666666666667,46,11463,153,446,6,134,63,47.0149253731343,71,20861,156,761,6,1
"137",50,"Mumbai Indians","Delhi Daredevils",2008,"Delhi",0,5,0,1,0,1,0,0,-1,1,140,80,57.1428571428571,60,21721,156,844,7,133,56,42.1052631578947,77,19734,149,753,6,1
"35",51,"Rajasthan Royals","Chennai Super Kings",2008,"Chennai",10,0,0,0,1,0,1,-1,0,0,118,63,53.3898305084746,55,17703,151,704,6,131,79,60.3053435114504,52,20899,160,820,7,0
"76",52,"Royal Challengers Bangalore","Deccan Chargers",2008,"Bangalore",3,0,1,0,0,1,0,0,-1,1,139,70,50.3597122302158,69,21591,156,804,6,75,29,38.6666666666667,46,11463,153,446,6,0
"292",53,"Kings XI Punjab","Kolkata Knight Riders",2008,"Kolkata",0,3,0,1,1,0,1,-1,0,0,134,63,47.0149253731343,71,20861,156,761,6,132,68,51.5151515151515,64,19481,148,762,6,1
"439",54,"Mumbai Indians","Rajasthan Royals",2008,"Jaipur",0,5,0,1,0,1,0,0,-1,1,140,80,57.1428571428571,60,21721,156,844,7,118,63,53.3898305084746,55,17703,151,704,6,1
"52",55,"Deccan Chargers","Chennai Super Kings",2008,"Hyderabad",0,7,1,0,1,0,1,-1,0,0,75,29,38.6666666666667,46,11463,153,446,6,131,79,60.3053435114504,52,20899,160,820,7,1
"102",56,"Rajasthan Royals","Delhi Daredevils",2008,"Mumbai",105,0,0,0,0,1,0,0,-1,1,118,63,53.3898305084746,55,17703,151,704,6,133,56,42.1052631578947,77,19734,149,753,6,0
"11",57,"Kings XI Punjab","Chennai Super Kings",2008,"Mumbai",0,9,0,0,1,0,1,-1,0,0,134,63,47.0149253731343,71,20861,156,761,6,131,79,60.3053435114504,52,20899,160,820,7,1
"437",58,"Chennai Super Kings","Rajasthan Royals",2008,"Mumbai",0,3,0,0,0,1,0,0,-1,1,131,79,60.3053435114504,52,20899,160,820,7,118,63,53.3898305084746,55,17703,151,704,6,1
"16",59,"Mumbai Indians","Chennai Super Kings",2009,"Cape Town",19,0,0,0,0,1,0,0,-1,1,140,80,57.1428571428571,60,21721,156,844,7,131,79,60.3053435114504,52,20899,160,820,7,0
"460",60,"Royal Challengers Bangalore","Rajasthan Royals",2009,"Cape Town",75,0,0,0,1,0,1,-1,0,0,139,70,50.3597122302158,69,21591,156,804,6,118,63,53.3898305084746,55,17703,151,704,6,0
